.04602 0.93481 -2.84733 0.71756 -0.06107 
0.01782 0.04419 0.93640 -2.90840 0.75573 -0.03053 
0.01941 0.04700 0.93616 -2.83206 0.70992 -0.08397 
0.01770 0.04932 0.94019 -2.91603 0.59542 -0.04580 
0.01611 0.04541 0.93909 -2.92366 0.72519 -0.05344 
0.01782 0.04382 0.94092 -2.99237 0.62595 -0.06870 
0.01880 0.03992 0.93689 -2.87786 0.74809 -0.04580 
0.01563 0.03894 0.93860 -2.80153 0.67176 -0.06870 
0.01758 0.04028 0.93713 -2.79389 0.71756 -0.07634 
0.01526 0.04236 0.94043 -2.90076 0.71756 -0.04580 
0.01648 0.04541 0.93677 -2.87786 0.64122 -0.06107 
0.01978 0.04749 0.94165 -2.87786 0.72519 -0.13740 
0.02039 0.04846 0.93811 -2.89313 0.67176 -0.05344 
0.02002 0.04248 0.93652 -2.84733 0.69466 -0.02290 
0.01917 0.04163 0.93689 -2.96183 0.71756 -0.03053 
0.02112 0.04102 0.93713 -2.85496 0.67176 -0.03817 
0.01990 0.04102 0.93884 -2.87023 0.66412 -0.05344 
0.01624 0.04150 0.94092 -2.83206 0.76336 -0.06107 
0.01514 0.04626 0.94006 -2.82443 0.69466 -0.09924 
0.01611 0.04602 0.93774 -2.77099 0.68702 -0.03053 
0.01611 0.04736 0.93774 -2.86260 0.66412 -0.09924 
0.02197 0.04272 0.94019 -2.83206 0.67176 -0.06870 
0.01892 0.04321 0.93799 -2.87786 0.67176 -0.06107 
0.02087 0.03955 0.93848 -2.90840 0.61832 -0.05344 
0.01807 0.04150 0.93665 -2.86260 0.64885 -0.07634 
0.01733 0.04480 0.93799 -2.87023 0.67176 -0.05344 
0.01758 0.04553 0.93604 -2.85496 0.68702 -0.09924 
0.01843 0.04504 0.93774 -2.80153 0.69466 -0.06107 
0.01672 0.04639 0.93384 -2.87786 0.61832 -0.11450 
0.01831 0.04114 0.93909 -2.87023 0.63359 -0.02290 
0.01685 0.04053 0.93896 -2.90840 0.67176 -0.06107 
0.01843 0.03967 0.93347 -2.90076 0.71756 -0.00763 
0.01843 0.04248 0.94067 -2.88550 0.66412 -0.08397 
0.01794 0.04468 0.93701 -2.87023 0.64122 -0.10687 
0.02026 0.04761 0.93384 -2.96947 0.64885 -0.06870 
0.01501 0.04614 0.94055 -2.86260 0.71756 -0.04580 
0.02026 0.04688 0.93872 -2.91603 0.73282 -0.06107 
0.01794 0.03979 0.93640 -2.87786 0.67176 -0.04580 
0.01868 0.04150 0.94043 -2.93893 0.74046 -0.05344 
0.01758 0.03857 0.93787 -2.82443 0.73282 -0.05344 
0.01782 0.03979 0.93872 -2.83206 0.69466 0.00000 
0.01514 0.04236 0.93958 -2.87786 0.67939 -0.07634 
0.01611 0.04639 0.93506 -2.82443 0.68702 -0.04580 
0.01685 0.04419 0.93628 -2.88550 0.67176 -0.06107 
0.01929 0.04480 0.93481 -2.93893 0.70229 0.00000 
0.01550 0.04224 0.93884 -2.93130 0.70229 -0.04580 
0.01831 0.03967 0.93591 -2.92366 0.68702 -0.02290 
0.01709 0.04114 0.94153 -2.82443 0.64885 -0.05344 
0.01819 0.04077 0.93628 -2.96947 0.76336 -0.09924 
0.01819 0.04333 0.93408 -2.87023 0.70229 -0.04580 
0.01880 0.04700 0.93762 -2.89313 0.70992 -0.03053 
0.01465 0.04590 0.93542 -2.91603 0.63359 -0.06870 
0.01794 0.04041 0.94092 -2.87023 0.69466 -0.07634 
0.01733 0.04187 0.93689 -2.87786 0.67176 -0.04580 
0.01685 0.04163 0.93762 -2.87023 0.68702 -0.07634 
0.01929 0.04175 0.93433 -2.78626 0.70229 -0.12214 
0.01819 0.04260 0.93811 -2.90076 0.70229 -0.12214 
0.01807 0.04602 0.93689 -2.85496 0.68702 -0.12977 
0.01953 0.04749 0.93799 -2.90840 0.67939 -0.07634 
0.01489 0.04480 0.93762 -2.92366 0.62595 -0.02290 
0.01855 0.04626 0.93958 -2.91603 0.68702 -0.09160 
0.01758 0.04126 0.93213 -2.93130 0.64885 -0.08397 
0.01404 0.03906 0.93665 -2.94656 0.67939 -0.03053 
0.01855 0.03967 0.93665 -2.92366 0.69466 -0.08397 
0.01880 0.04077 0.93799 -2.84733 0.70229 -0.06870 
0.01758 0.04395 0.93884 -2.88550 0.64885 -0.09160 
0.01599 0.04663 0.93909 -2.86260 0.69466 -0.06870 
0.01892 0.04700 0.94141 -2.93130 0.70992 -0.09924 
0.01758 0.04626 0.93945 -2.94656 0.65649 -0.06870 
0.01709 0.04309 0.93481 -2.90076 0.74046 -0.09924 
0.01794 0.04016 0.93457 -2.85496 0.69466 -0.08397 
0.01794 0.04004 0.93921 -2.85496 0.75573 -0.12977 
0.01819 0.04333 0.93921 -2.89313 0.67939 0.00000 
0.01428 0.04871 0.94202 -2.89313 0.67939 -0.04580 
0.01526 0.04773 0.93848 -2.96947 0.71756 -0.06107 
0.01953 0.04590 0.94348 -2.87786 0.68702 -0.03053 
0.02197 0.04309 0.93713 -2.92366 0.62595 -0.07634 
0.01758 0.04089 0.93542 -2.91603 0.74046 -0.06107 
0.01831 0.04150 0.93530 -2.93130 0.68702 -0.06107 
0.01794 0.03833 0.93677 -2.90076 0.72519 -0.03817 
0.01782 0.04443 0.93909 -2.90076 0.70992 -0.03817 
0.01672 0.04517 0.93958 -2.88550 0.74046 -0.00763 
0.01807 0.04541 0.93945 -2.88550 0.65649 -0.01527 
0.01477 0.04968 0.93359 -2.95420 0.70229 -0.03053 
0.01550 0.04370 0.93555 -2.90076 0.66412 -0.02290 
0.01819 0.04053 0.94031 -2.91603 0.67939 -0.02290 
0.01648 0.03882 0.93652 -2.88550 0.76336 -0.06107 
0.01904 0.03955 0.93774 -2.83969 0.65649 -0.06870 
0.01746 0.04102 0.93591 -2.88550 0.70992 -0.06107 
0.01831 0.04639 0.94019 -2.89313 0.72519 -0.08397 
0.01648 0.04761 0.93872 -2.84733 0.67939 -0.04580 
0.01770 0.04871 0.93835 -2.88550 0.73282 -0.03053 
0.01465 0.04553 0.93970 -2.94656 0.68702 -0.05344 
0.01746 0.03955 0.93799 -2.89313 0.67176 -0.05344 
0.01843 0.04053 0.93884 -2.82443 0.69466 -0.10687 
0.01721 0.03894 0.93970 -2.90840 0.67176 -0.10687 
0.01746 0.04321 0.93774 -2.85496 0.61069 -0.06107 
0.01721 0.04504 0.93481 -2.90840 0.67939 -0.04580 
0.01648 0.04688 0.94116 -2.88550 0.71756 -0.06870 
0.02148 0.04822 0.94080 -2.88550 0.70992 -0.12977 
0.01746 0.04419 0.93945 -2.90076 0.67176 -0.00763 
0.02100 0.04309 0.93555 -2.92366 0.76336 -0.08397 
0.01563 0.03870 0.93860 -2.87786 0.64122 -0.03817 
0.01489 0.04016 0.93262 -2.90076 0.71756 -0.04580 
0.01697 0.04028 0.93628 -2.88550 0.68702 -0.01527 
0.01392 0.04431 0.93738 -2.92366 0.74809 -0.04580 
0.01392 0.04541 0.93896 -2.90076 0.70992 -0.03053 
0.01611 0.04761 0.93420 -2.93130 0.72519 -0.06870 
0.01721 0.04419 0.93762 -2.89313 0.71756 -0.08397 
0.02002 0.04285 0.93604 -2.91603 0.68702 -0.05344 
0.01892 0.04028 0.94006 -2.86260 0.65649 -0.03817 
0.01904 0.04138 0.93530 -2.91603 0.66412 0.03053 
0.01416 0.04065 0.93750 -2.85496 0.67939 -0.03817 
0.01892 0.04663 0.93982 -2.83969 0.68702 -0.06870 
0.01575 0.04822 0.93701 -2.83206 0.70992 -0.05344 
0.01343 0.04883 0.93677 -2.88550 0.69466 -0.09160 
0.01501 0.04712 0.93542 -2.87786 0.64885 -0.01527 
0.01624 0.04370 0.94006 -2.83206 0.63359 0.00763 
0.01660 0.04175 0.93604 -2.91603 0.68702 -0.11450 
0.02014 0.04138 0.93738 -2.84733 0.72519 -0.06107 
0.02356 0.04138 0.93652 -2.89313 0.69466 0.00763 
0.01990 0.04333 0.93774 -2.89313 0.64885 -0.04580 
0.01953 0.04749 0.93726 -2.85496 0.71756 -0.01527 
0.01807 0.04553 0.94141 -2.89313 0.73282 -0.06870 
0.01746 0.04248 0.93604 -2.86260 0.69466 -0.05344 
0.01685 0.04468 0.93799 -2.86260 0.71756 -0.06107 
0.01709 0.04089 0.93884 -2.87786 0.70229 -0.03817 
0.01501 0.04150 0.93640 -2.87786 0.64885 -0.07634 
0.01648 0.04309 0.93799 -2.87786 0.67939 -0.07634 
0.01929 0.04358 0.93835 -2.86260 0.68702 -0.05344 
0.02051 0.04333 0.93689 -2.88550 0.63359 -0.06870 
0.01733 0.04443 0.93738 -2.83206 0.75573 -0.10687 
0.01880 0.04810 0.93530 -2.90076 0.72519 -0.09160 
0.01746 0.04382 0.93726 -2.89313 0.70229 -0.09924 
0.02063 0.04089 0.93823 -2.90076 0.69466 -0.08397 
0.01587 0.04285 0.93750 -2.93130 0.67939 -0.09924 
0.01855 0.04028 0.93884 -2.87786 0.70229 -0.07634 
0.01697 0.03955 0.93958 -2.86260 0.67939 0.00000 
0.01819 0.04175 0.94019 -2.97710 0.70992 -0.09160 
0.01904 0.04419 0.93921 -2.85496 0.68702 -0.12214 
0.01965 0.04504 0.93982 -2.85496 0.65649 -0.02290 
0.01550 0.04248 0.93262 -2.91603 0.65649 -0.03817 
0.01978 0.04504 0.93774 -2.89313 0.69466 -0.06107 
0.01697 0.04053 0.93726 -2.90076 0.67939 -0.09924 
0.01721 0.04419 0.94373 -2.75573 0.73282 0.02290 
0.01794 0.04248 0.93909 -2.96183 0.82443 -0.05344 
0.01843 0.04260 0.93823 -2.77863 0.69466 -0.00763 
0.01587 0.04688 0.93872 -2.81679 0.68702 -0.03817 
0.01526 0.04614 0.93591 -2.87786 0.64122 -0.04580 
0.01672 0.04590 0.93860 -2.85496 0.64885 -0.04580 
0.01563 0.04395 0.93848 -2.84733 0.67176 -0.01527 
0.01880 0.04053 0.93628 -2.92366 0.70992 -0.06107 
0.01807 0.04260 0.93762 -2.89313 0.70229 -0.06870 
0.01758 0.04333 0.93542 -2.89313 0.67176 -0.05344 
0.01855 0.04529 0.93884 -2.85496 0.75573 -0.05344 
0.01978 0.04675 0.93762 -2.83206 0.74046 -0.06870 
0.01782 0.04553 0.94055 -2.98473 0.67176 -0.08397 
0.01721 0.04382 0.93909 -2.87786 0.63359 -0.09160 
0.01514 0.04407 0.93640 -2.96183 0.67939 -0.08397 
0.01807 0.04187 0.93481 -2.86260 0.67939 -0.08397 
0.01855 0.04224 0.93884 -2.93893 0.70229 -0.06870 
0.01709 0.04187 0.94019 -2.81679 0.78626 -0.05344 
